ID,HBlank,H135.Us,H149.C,H128.Us,HMs.Va,H67.LVL,H127.Va,HMs.LVL,H123Va,H135.LVL,H67.Va,H67.Ve,H123Ve,H86.LVL,H123Us,H62.Us,H67.C,H110.LVL,H66.Ve,H135.C,H20.Ve,H86.Ve,H86.C,H62.C,H86.Va,H110.C,H99.Ve,H128.Ve,HJHB.Ve,H66.Us,H128.C,HJHB.C,H20.C,H99.C,H149.Ve,H123C,HFz.C,H66.C,H127.Ve,H99.Us,H62.Ve,H110.Ve,H99.Va,HMs.Ve,HMs.C,H127.C,HFz.Ve,HFz.Va,H135.Ve,H132.Ve,HMs.Us,H26.Ve,H62.Va,H66.Va,H26.C,H20.Va,H20.LVL,HJHB.LVL,H135.Va,H26.Va,HFz.LVL,H149.Us,H66.LVL,H149.LVL,H149.Va,H62.LVL,H123LVL,H128.LVL,H99.LVL,HJHB.Us,H128.Va,H132.C,H127.Us,H20.Us,HFz.Us,H132.Va,H86.Us,H110.Us,H132.LVL,H110.Va,H127.LVL,H67.Us,H132.Us,HJHB.Va,H26.Us,H26.LVL
Bacteria|Firmicutes|Erysipelotrichi|Erysipelotrichales|Erysipelotrichaceae|p-75-a5,0,0,42,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,23,0,45,2,28,0,5,37,24,1,0,0,1,4,0,8,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales|Enterobacteriaceae,1965,1585,2341,1175,2293,895,1839,1529,2533,1318,1215,4845,1368,807,1378,1389,300,974,3178,1368,1923,1899,319,538,3126,612,1275,1368,2,1696,323,2093,226,85,1129,136,124,99,2088,289,590,443,640,1377,156,105,1008,998,1005,4,1018,0,825,2002,4,1127,1045,768,1052,14,1688,3017,1213,1262,597,1090,712,878,721,407,599,4,1041,524,968,6,724,560,13,880,1521,1841,11,5,5,2
Bacteria|Firmicutes|Clostridia|Clostridiales|Tissierellaceae|Anaerococcus,1,0,0,0,0,0,0,0,0,0,0,855,0,0,0,0,4,0,0,34,7,123,371,0,9,0,215,0,0,0,0,223,16,26,0,0,7,2,1,0,0,0,10,281,49,0,0,0,48,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Cyanobacteria|Chloroplast|Stramenopiles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnospira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Oxalobacteraceae,42,4,20,2,1,5,114,3,4,1,0,98,20,7,0,14,1,1,16,28,10,5,0,1,19,1,64,2,0,2,3,11,11,0,3,0,0,1,0,0,0,30,5,19,0,1,13,9,33,0,32,0,15,3,0,25,4,2,18,1,53,82,0,4,0,14,0,5,30,0,0,0,29,15,1,0,10,2,0,2,43,9,0,0,0,0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus,0,0,5,10,0,0,1174,2,7,0,0,765,73,3,0,0,56,0,96,0,1,182,74,133,26,90,73,345,1,0,10,352,1,46,14,13,148,113,762,0,730,0,1,55,34,15,1294,32,1,0,6,1,38,0,0,0,0,0,0,0,742,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Coriobacteriaceae,0,0,270,0,0,0,13,0,0,0,0,249,0,0,0,0,41,0,129,71,254,0,250,57,0,9,36,42,0,0,34,51,50,76,0,190,13,295,5,0,25,0,0,78,25,142,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae,0,0,1,0,0,0,354,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,12,0,0,1,0,1,5836,0,0,0,0,3621,0,29,0,0,0,0,0,0,0,82,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Aerococcaceae,0,0,7,0,0,0,1,0,0,0,0,16,0,0,0,0,4,0,0,0,0,0,3,1,0,0,1,0,2,0,0,810,25,0,0,1,2,4,2,0,0,0,0,144,1,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
